    alpha      rho        t    total  aco_min  aco_max
{ DATA 1 }
        0      0.1       10      130      190      190
        0      0.1       20      130      190      190
        0      0.1       30      130      190      190
        0      0.1       40      130      190      190
        0      0.1       50      130      190      190
        0      0.1       60      130      190      190
        0      0.1       70      130      190      190
        0      0.1       80      130      190      190
        0      0.1       90      130      190      190
        0      0.1      100      130      190      190
        0      0.1      110      130      190      190
        0      0.1      120      130      190      190
        0      0.1      130      130      190      190
        0      0.1      140      130      190      190
        0      0.1      150      130      190      190
        0      0.1      160      130      190      190
        0      0.1      170      130      190      190
        0      0.1      180      130      190      190
        0      0.1      190      130      190      190
        0      0.1      200      130      190      190
        0      0.2       10      130      190      190
        0      0.2       20      130      190      190
        0      0.2       30      130      190      190
        0      0.2       40      130      190      190
        0      0.2       50      130      190      190
        0      0.2       60      130      190      190
        0      0.2       70      130      190      190
        0      0.2       80      130      190      190
        0      0.2       90      130      190      190
        0      0.2      100      130      190      190
        0      0.2      110      130      190      190
        0      0.2      120      130      190      190
        0      0.2      130      130      190      190
        0      0.2      140      130      190      190
        0      0.2      150      130      190      190
        0      0.2      160      130      190      190
        0      0.2      170      130      190      190
        0      0.2      180      130      190      190
        0      0.2      190      130      190      190
        0      0.2      200      130      190      190
        0      0.3       10      130      190      190
        0      0.3       20      130      190      190
        0      0.3       30      130      190      190
        0      0.3       40      130      190      190
        0      0.3       50      130      190      190
        0      0.3       60      130      190      190
        0      0.3       70      130      190      190
        0      0.3       80      130      190      190
        0      0.3       90      130      190      190
        0      0.3      100      130      190      190
        0      0.3      110      130      190      190
        0      0.3      120      130      190      190
        0      0.3      130      130      190      190
        0      0.3      140      130      190      190
        0      0.3      150      130      190      190
        0      0.3      160      130      190      190
        0      0.3      170      130      190      190
        0      0.3      180      130      190      190
        0      0.3      190      130      190      190
        0      0.3      200      130      190      190
        0      0.4       10      130      190      190
        0      0.4       20      130      190      190
        0      0.4       30      130      190      190
        0      0.4       40      130      190      190
        0      0.4       50      130      190      190
        0      0.4       60      130      190      190
        0      0.4       70      130      190      190
        0      0.4       80      130      190      190
        0      0.4       90      130      190      190
        0      0.4      100      130      190      190
        0      0.4      110      130      190      190
        0      0.4      120      130      190      190
        0      0.4      130      130      190      190
        0      0.4      140      130      190      190
        0      0.4      150      130      190      190
        0      0.4      160      130      190      190
        0      0.4      170      130      190      190
        0      0.4      180      130      190      190
