№;alpha;rho;t;Ответ;Муравьи;;;№;alpha;rho;t;Ответ;Муравьи;
0;0.0;0.1;10.0;130;190;;;0;0.0;0.1;10.0;130;190;
1;0.0;0.1;20.0;130;190;;;1;0.0;0.1;20.0;130;190;
2;0.0;0.1;30.0;130;190;;;2;0.0;0.1;30.0;130;190;
3;0.0;0.1;40.0;130;190;;;3;0.0;0.1;40.0;130;190;
4;0.0;0.1;50.0;130;190;;;4;0.0;0.1;50.0;130;190;
5;0.0;0.1;60.0;130;190;;;5;0.0;0.1;60.0;130;190;
6;0.0;0.1;70.0;130;190;;;360;0.1;0.9;10.0;130;170;
7;0.0;0.1;80.0;130;190;;;361;0.1;0.9;20.0;130;170;
8;0.0;0.1;90.0;130;190;;;362;0.1;0.9;30.0;130;160;
9;0.0;0.1;100.0;130;190;;;363;0.1;0.9;40.0;130;160;
10;0.0;0.1;110.0;130;190;;;364;0.1;0.9;50.0;130;160;
11;0.0;0.1;120.0;130;190;;;365;0.1;0.9;60.0;130;170;
12;0.0;0.1;130.0;130;190;;;806;0.4;0.1;70.0;130;160;
13;0.0;0.1;140.0;130;190;;;807;0.4;0.1;80.0;130;150;
14;0.0;0.1;150.0;130;190;;;808;0.4;0.1;90.0;130;150;
15;0.0;0.1;160.0;130;190;;;809;0.4;0.1;100.0;130;170;
16;0.0;0.1;170.0;130;190;;;810;0.4;0.1;110.0;130;150;
17;0.0;0.1;180.0;130;190;;;2195;1.0;1.0;160.0;130;270;
18;0.0;0.1;190.0;130;190;;;2196;1.0;1.0;170.0;130;300;
19;0.0;0.1;200.0;130;190;;;2197;1.0;1.0;180.0;130;270;
20;0.0;0.2;10.0;130;190;;;2198;1.0;1.0;190.0;130;280;
21;0.0;0.2;20.0;130;190;;;2199;1.0;1.0;200.0;130;280;
22;0.0;0.2;30.0;130;190;;;;;;;;;
23;0.0;0.2;40.0;130;190;;;1517;0.7;0.6;180;130;190;
24;0.0;0.2;50.0;130;190;;;1518;0.7;0.6;190;130;190;
25;0.0;0.2;60.0;130;190;;;1519;0.7;0.6;200;130;190;
26;0.0;0.2;70.0;130;190;;;1520;0.7;0.7;10;130;190;
27;0.0;0.2;80.0;130;190;;;1521;0.7;0.7;20;130;190;
28;0.0;0.2;90.0;130;190;;;1522;0.7;0.7;30;130;190;
29;0.0;0.2;100.0;130;190;;;;;;;;;
30;0.0;0.2;110.0;130;190;;;;;;;;;
31;0.0;0.2;120.0;130;190;;;;;;;;;
32;0.0;0.2;130.0;130;190;;;;;;;;;
33;0.0;0.2;140.0;130;190;;;;;;;;;
34;0.0;0.2;150.0;130;190;;;;;;;;;
35;0.0;0.2;160.0;130;190;;;;;;;;;
36;0.0;0.2;170.0;130;190;;;;;;;;;
37;0.0;0.2;180.0;130;190;;;;;;;;;
38;0.0;0.2;190.0;130;190;;;;;;;;;
39;0.0;0.2;200.0;130;190;;;;;;;;;
40;0.0;0.3;10.0;130;190;;;;;;;;;
41;0.0;0.3;20.0;130;190;;;;;;;;;
42;0.0;0.3;30.0;130;190;;;;;;;;;
43;0.0;0.3;40.0;130;190;;;;;;;;;
44;0.0;0.3;50.0;130;190;;;;;;;;;
45;0.0;0.3;60.0;130;190;;;;;;;;;
46;0.0;0.3;70.0;130;190;;;;;;;;;
