100/0,015300/0,011800/0,007800/
200/0,121800/0,094100/0,069700/
300/0,423800/0,330900/0,241300/
400/1,052400/0,791200/0,540700/
500/2,097300/1,613500/1,144100/
600/3,853800/2,866900/1,966000/
700/6,780500/5,090600/3,515500/
800/9,901000/7,699900/5,466200/
900/14,462100/11,247800/8,023500/
1000/22,813500/18,285800/12,804600/
101/17,100000/12,600000/8,400000/
201/132,000000/136,200000/115,800000/
301/460,800000/331,200000/228,600000/
401/1177,400000/829,900000/565,300000/
501/2207,800000/1806,100000/1262,600000/
601/3896,200000/2968,000000/1998,500000/
701/6378,200000/5198,000000/3282,500000/
801/9749,400000/7556,600000/5198,300000/
901/13892,900000/11149,900000/7816,300000/
1001/22544,900000/18127,900000/12033,500000/
