;Ответ;Муравьи
0;160;210
1;160;210
2;160;210
3;160;210
4;160;210
5;160;210
6;160;210
7;160;210
8;160;210
9;160;210
10;160;210
11;160;210
12;160;210
13;160;210
14;160;210
15;160;210
16;160;210
17;160;210
18;160;210
19;160;210
20;160;210
21;160;210
22;160;210
23;160;210
24;160;210
25;160;210
26;160;210
27;160;210
28;160;210
29;160;210
30;160;210
31;160;210
32;160;210
33;160;210
34;160;210
35;160;210
36;160;210
37;160;210
38;160;210
39;160;210
40;160;210
41;160;210
42;160;210
43;160;210
44;160;210
45;160;210
46;160;210
47;160;210
48;160;210
49;160;210
50;160;210
51;160;210
52;160;210
53;160;210
54;160;210
55;160;210
56;160;210
57;160;210
58;160;210
59;160;210
60;160;210
61;160;210
62;160;210
63;160;210
64;160;210
65;160;210
66;160;210
67;160;210
68;160;210
69;160;210
70;160;210
71;160;210
72;160;210
73;160;210
74;160;210
75;160;210
76;160;210
77;160;210
78;160;210
79;160;210
80;160;210
81;160;210
82;160;210
83;160;210
84;160;210
85;160;210
86;160;210
87;160;210
88;160;210
89;160;210
90;160;210
91;160;210
92;160;210
93;160;210
94;160;210
95;160;210
96;160;210
97;160;210
98;160;210
99;160;210
100;160;210
101;160;210
102;160;210
103;160;210
104;160;210
105;160;210
106;160;210
107;160;210
108;160;210
109;160;210
110;160;210
111;160;210
112;160;210
113;160;210
114;160;210
115;160;210
116;160;210
117;160;210
118;160;210
119;160;210
120;160;210
121;160;210
122;160;210
123;160;210
124;160;210
125;160;210
126;160;210
127;160;210
128;160;210
129;160;210
130;160;210
131;160;210
132;160;210
133;160;210
134;160;210
135;160;210
136;160;210
137;160;210
138;160;210
139;160;210
140;160;210
141;160;210
142;160;210
143;160;210
144;160;210
145;160;210
146;160;210
147;160;210
148;160;210
149;160;210
150;160;210
151;160;210
152;160;210
153;160;210
154;160;210
155;160;210
156;160;210
157;160;210
158;160;210
159;160;210
160;160;210
161;160;210
162;160;210
163;160;210
164;160;210
165;160;210
166;160;210
167;160;210
168;160;210
169;160;210
170;160;210
171;160;210
172;160;210
173;160;210
174;160;210
175;160;210
176;160;210
177;160;210
178;160;210
179;160;210
180;160;210
181;160;210
182;160;210
183;160;210
184;160;210
185;160;210
186;160;210
187;160;210
188;160;210
189;160;210
190;160;210
191;160;210
192;160;210
193;160;210
194;160;210
195;160;210
196;160;210
197;160;210
198;160;210
199;160;210
200;160;180
201;160;180
202;160;180
203;160;180
204;160;180
205;160;170
206;160;180
207;160;180
208;160;170
209;160;180
210;160;180
211;160;180
212;160;180
213;160;180
214;160;180
215;160;170
216;160;170
217;160;170
218;160;180
219;160;180
220;160;180
