    alpha      rho        t    total  aco_min  aco_max
{ DATA 1 }
        0      0.1        5      170      240      240
        0      0.1       10      170      240      240
        0      0.1       15      170      240      240
        0      0.1       20      170      240      240
        0      0.1       25      170      240      240
        0      0.1       30      170      240      240
        0      0.1       35      170      240      240
        0      0.1       40      170      240      240
        0      0.1       45      170      240      240
        0      0.1       50      170      240      240
        0      0.1       55      170      240      240
        0      0.1       60      170      240      240
        0      0.1       65      170      240      240
        0      0.1       70      170      240      240
        0      0.1       75      170      240      240
        0      0.1       80      170      240      240
        0      0.1       85      170      240      240
        0      0.1       90      170      240      240
        0      0.1       95      170      240      240
        0      0.2        5      170      240      240
        0      0.2       10      170      240      240
        0      0.2       15      170      240      240
        0      0.2       20      170      240      240
        0      0.2       25      170      240      240
        0      0.2       30      170      240      240
        0      0.2       35      170      240      240
        0      0.2       40      170      240      240
        0      0.2       45      170      240      240
        0      0.2       50      170      240      240
        0      0.2       55      170      240      240
        0      0.2       60      170      240      240
        0      0.2       65      170      240      240
        0      0.2       70      170      240      240
        0      0.2       75      170      240      240
        0      0.2       80      170      240      240
        0      0.2       85      170      240      240
        0      0.2       90      170      240      240
        0      0.2       95      170      240      240
        0      0.3        5      170      240      240
        0      0.3       10      170      240      240
        0      0.3       15      170      240      240
        0      0.3       20      170      240      240
        0      0.3       25      170      240      240
        0      0.3       30      170      240      240
        0      0.3       35      170      240      240
        0      0.3       40      170      240      240
        0      0.3       45      170      240      240
        0      0.3       50      170      240      240
        0      0.3       55      170      240      240
        0      0.3       60      170      240      240
        0      0.3       65      170      240      240
        0      0.3       70      170      240      240
        0      0.3       75      170      240      240
        0      0.3       80      170      240      240
        0      0.3       85      170      240      240
        0      0.3       90      170      240      240
        0      0.3       95      170      240      240
        0      0.4        5      170      240      240
        0      0.4       10      170      240      240
        0      0.4       15      170      240      240
        0      0.4       20      170      240      240
        0      0.4       25      170      240      240
        0      0.4       30      170      240      240
        0      0.4       35      170      240      240
        0      0.4       40      170      240      240
        0      0.4       45      170      240      240
        0      0.4       50      170      240      240
        0      0.4       55      170      240      240
        0      0.4       60      170      240      240
        0      0.4       65      170      240      240
        0      0.4       70      170      240      240
        0      0.4       75      170      240      240
        0      0.4       80      170      240      240
        0      0.4       85      170      240      240
        0      0.4       90      170      240      240
        0      0.4       95      170      240      240
        0      0.5        5      170      240      240
        0      0.5       10      170      240      240
        0      0.5       15      170      240      240
        0      0.5       20      170      240      240
        0      0.5       25      170      240      240
        0      0.5       30      170      240      240
        0      0.5       35      170      240      240
        0      0.5       40      170      240      240
        0      0.5       45      170      240      240
        0      0.5       50      170      240      240
        0      0.5       55      170      240      240
        0      0.5       60      170      240      240
        0      0.5       65      170      240      240
        0      0.5       70      170      240      240
        0      0.5       75      170      240      240
        0      0.5       80      170      240      240
        0      0.5       85      170      240      240
        0      0.5       90      170      240      240
        0      0.5       95      170      240      240
        0      0.6        5      170      240      240
        0      0.6       10      170      240      240
        0      0.6       15      170      240      240
        0      0.6       20      170      240      240
        0      0.6       25      170      240      240
        0      0.6       30      170      240      240
        0      0.6       35      170      240      240
        0      0.6       40      170      240      240
        0      0.6       45      170      240      240
        0      0.6       50      170      240      240
        0      0.6       55      170      240      240
        0      0.6       60      170      240      240
        0      0.6       65      170      240      240
        0      0.6       70      170      240      240
        0      0.6       75      170      240      240
        0      0.6       80      170      240      240
        0      0.6       85      170      240      240
        0      0.6       90      170      240      240
        0      0.6       95      170      240      240
        0      0.7        5      170      240      240
        0      0.7       10      170      240      240
        0      0.7       15      170      240      240
        0      0.7       20      170      240      240
        0      0.7       25      170      240      240
        0      0.7       30      170      240      240
        0      0.7       35      170      240      240
        0      0.7       40      170      240      240
        0      0.7       45      170      240      240
        0      0.7       50      170      240      240
        0      0.7       55      170      240      240
        0      0.7       60      170      240      240
        0      0.7       65      170      240      240
        0      0.7       70      170      240      240
        0      0.7       75      170      240      240
        0      0.7       80      170      240      240
        0      0.7       85      170      240      240
        0      0.7       90      170      240      240
        0      0.7       95      170      240      240
        0      0.8        5      170      240      240
        0      0.8       10      170      240      240
        0      0.8       15      170      240      240
        0      0.8       20      170      240      240
        0      0.8       25      170      240      240
        0      0.8       30      170      240      240
        0      0.8       35      170      240      240
        0      0.8       40      170      240      240
        0      0.8       45      170      240      240
        0      0.8       50      170      240      240
        0      0.8       55      170      240      240
        0      0.8       60      170      240      240
        0      0.8       65      170      240      240
        0      0.8       70      170      240      240
        0      0.8       75      170      240      240
        0      0.8       80      170      240      240
        0      0.8       85      170      240      240
        0      0.8       90      170      240      240
        0      0.8       95      170      240      240
        0      0.9        5      170      240      240
        0      0.9       10      170      240      240
        0      0.9       15      170      240      240
        0      0.9       20      170      240      240
        0      0.9       25      170      240      240
        0      0.9       30      170      240      240
        0      0.9       35      170      240      240
        0      0.9       40      170      240      240
        0      0.9       45      170      240      240
        0      0.9       50      170      240      240
        0      0.9       55      170      240      240
        0      0.9       60      170      240      240
        0      0.9       65      170      240      240
        0      0.9       70      170      240      240
        0      0.9       75      170      240      240
        0      0.9       80      170      240      240
        0      0.9       85      170      240      240
        0      0.9       90      170      240      240
        0      0.9       95      170      240      240
        0        1        5      170      240      240
        0        1       10      170      240      240
        0        1       15      170      240      240
        0        1       20      170      240      240
        0        1       25      170      240      240
        0        1       30      170      240      240
        0        1       35      170      240      240
        0        1       40      170      240      240
        0        1       45      170      240      240
        0        1       50      170      240      240
        0        1       55      170      240      240
        0        1       60      170      240      240
        0        1       65      170      240      240
        0        1       70      170      240      240
        0        1       75      170      240      240
        0        1       80      170      240      240
        0        1       85      170      240      240
        0        1       90      170      240      240
        0        1       95      170      240      240
      0.1      0.1        5      170      230      230
      0.1      0.1       10      170      230      230
      0.1      0.1       15      170      230      230
      0.1      0.1       20      170      230      230
      0.1      0.1       25      170      230      230
      0.1      0.1       30      170      230      230
      0.1      0.1       35      170      230      230
      0.1      0.1       40      170      230      230
      0.1      0.1       45      170      230      230
      0.1      0.1       50      170      230      230
      0.1      0.1       55      170      230      230
      0.1      0.1       60      170      230      230
      0.1      0.1       65      170      230      230
      0.1      0.1       70      170      230      230
      0.1      0.1       75      170      230      230
      0.1      0.1       80      170      230      230
      0.1      0.1       85      170      230      230
      0.1      0.1       90      170      230      230
      0.1      0.1       95      170      230      230
      0.1      0.2        5      170      230      230
      0.1      0.2       10      170      230      230
      0.1      0.2       15      170      230      230
      0.1      0.2       20      170      230      230
      0.1      0.2       25      170      230      230
      0.1      0.2       30      170      230      230
      0.1      0.2       35      170      230      230
      0.1      0.2       40      170      230      230
      0.1      0.2       45      170      230      230
      0.1      0.2       50      170      230      230
      0.1      0.2       55      170      230      230
      0.1      0.2       60      170      230      230
      0.1      0.2       65      170      230      230
      0.1      0.2       70      170      230      230
      0.1      0.2       75      170      230      230
      0.1      0.2       80      170      230      230
      0.1      0.2       85      170      230      230
      0.1      0.2       90      170      230      230
      0.1      0.2       95      170      230      230
      0.1      0.3        5      170      230      230
      0.1      0.3       10      170      230      230
      0.1      0.3       15      170      230      230
      0.1      0.3       20      170      230      230
      0.1      0.3       25      170      230      230
      0.1      0.3       30      170      230      230
      0.1      0.3       35      170      230      230
      0.1      0.3       40      170      230      230
      0.1      0.3       45      170      230      230
      0.1      0.3       50      170      230      230
      0.1      0.3       55      170      230      230
      0.1      0.3       60      170      230      230
      0.1      0.3       65      170      230      230
      0.1      0.3       70      170      230      230
      0.1      0.3       75      170      230      230
      0.1      0.3       80      170      230      230
      0.1      0.3       85      170      230      230
      0.1      0.3       90      170      230      230
      0.1      0.3       95      170      230      230
      0.1      0.4        5      170      230      230
      0.1      0.4       10      170      230      230
      0.1      0.4       15      170      230      230
      0.1      0.4       20      170      230      230
      0.1      0.4       25      170      230      230
      0.1      0.4       30      170      230      230
      0.1      0.4       35      170      230      230
      0.1      0.4       40      170      230      230
      0.1      0.4       45      170      230      230
      0.1      0.4       50      170      230      230
      0.1      0.4       55      170      230      230
      0.1      0.4       60      170      230      230
      0.1      0.4       65      170      230      230
      0.1      0.4       70      170      230      230
      0.1      0.4       75      170      230      230
      0.1      0.4       80      170      230      230
      0.1      0.4       85      170      230      230
      0.1      0.4       90      170      230      230
      0.1      0.4       95      170      230      230
      0.1      0.5        5      170      230      230
      0.1      0.5       10      170      230      230
      0.1      0.5       15      170      230      230
      0.1      0.5       20      170      230      230
      0.1      0.5       25      170      230      230
      0.1      0.5       30      170      230      230
      0.1      0.5       35      170      230      230
      0.1      0.5       40      170      230      230
      0.1      0.5       45      170      230      230
      0.1      0.5       50      170      230      230
      0.1      0.5       55      170      230      230
      0.1      0.5       60      170      230      230
      0.1      0.5       65      170      230      230
      0.1      0.5       70      170      230      230
      0.1      0.5       75      170      230      230
      0.1      0.5       80      170      230      230
      0.1      0.5       85      170      230      230
      0.1      0.5       90      170      230      230
      0.1      0.5       95      170      230      230
      0.1      0.6        5      170      230      230
      0.1      0.6       10      170      230      230
      0.1      0.6       15      170      230      230
      0.1      0.6       20      170      230      230
      0.1      0.6       25      170      230      230
      0.1      0.6       30      170      230      230
      0.1      0.6       35      170      230      230
      0.1      0.6       40      170      230      230
      0.1      0.6       45      170      230      230
      0.1      0.6       50      170      230      230
      0.1      0.6       55      170      230      230
      0.1      0.6       60      170      230      230
      0.1      0.6       65      170      230      230
      0.1      0.6       70      170      230      230
      0.1      0.6       75      170      230      230
      0.1      0.6       80      170      230      230
      0.1      0.6       85      170      230      230
      0.1      0.6       90      170      230      230
      0.1      0.6       95      170      230      230
      0.1      0.7        5      170      230      230
      0.1      0.7       10      170      230      230
      0.1      0.7       15      170      230      230
      0.1      0.7       20      170      230      230
      0.1      0.7       25      170      230      230
      0.1      0.7       30      170      230      230
      0.1      0.7       35      170      230      230
      0.1      0.7       40      170      230      230
      0.1      0.7       45      170      230      230
      0.1      0.7       50      170      230      230
      0.1      0.7       55      170      230      230
      0.1      0.7       60      170      230      230
      0.1      0.7       65      170      230      230
      0.1      0.7       70      170      230      230
      0.1      0.7       75      170      230      230
      0.1      0.7       80      170      230      230
      0.1      0.7       85      170      230      230
      0.1      0.7       90      170      230      230
      0.1      0.7       95      170      230      230
      0.1      0.8        5      170      230      230
      0.1      0.8       10      170      230      230
      0.1      0.8       15      170      230      230
      0.1      0.8       20      170      230      230
      0.1      0.8       25      170      230      230
      0.1      0.8       30      170      230      230
      0.1      0.8       35      170      230      230
      0.1      0.8       40      170      230      230
      0.1      0.8       45      170      230      230
      0.1      0.8       50      170      230      230
      0.1      0.8       55      170      230      230
      0.1      0.8       60      170      230      230
      0.1      0.8       65      170      230      230
      0.1      0.8       70      170      230      230
      0.1      0.8       75      170      230      230
      0.1      0.8       80      170      230      230
      0.1      0.8       85      170      230      230
      0.1      0.8       90      170      230      230
      0.1      0.8       95      170      230      230
      0.1      0.9        5      170      230      230
      0.1      0.9       10      170      230      230
      0.1      0.9       15      170      230      230
      0.1      0.9       20      170      230      230
      0.1      0.9       25      170      230      230
      0.1      0.9       30      170      230      230
      0.1      0.9       35      170      230      230
      0.1      0.9       40      170      230      230
      0.1      0.9       45      170      230      230
      0.1      0.9       50      170      230      230
      0.1      0.9       55      170      230      230
      0.1      0.9       60      170      230      230
      0.1      0.9       65      170      230      230
      0.1      0.9       70      170      230      230
      0.1      0.9       75      170      230      230
      0.1      0.9       80      170      230      230
      0.1      0.9       85      170      230      230
      0.1      0.9       90      170      230      230
      0.1      0.9       95      170      230      230
      0.1        1        5      170      230      230
      0.1        1       10      170      230      230
      0.1        1       15      170      230      230
      0.1        1       20      170      230      230
      0.1        1       25      170      230      230
      0.1        1       30      170      230      230
      0.1        1       35      170      230      230
      0.1        1       40      170      230      230
      0.1        1       45      170      230      230
      0.1        1       50      170      230      230
      0.1        1       55      170      230      230
      0.1        1       60      170      230      230
      0.1        1       65      170      230      230
      0.1        1       70      170      230      230
      0.1        1       75      170      230      230
      0.1        1       80      170      230      230
      0.1        1       85      170      230      230
      0.1        1       90      170      230      230
      0.1        1       95      170      230      230
      0.2      0.1        5      170      210      210
      0.2      0.1       10      170      210      210
      0.2      0.1       15      170      210      210
      0.2      0.1       20      170      210      210
      0.2      0.1       25      170      210      210
      0.2      0.1       30      170      210      210
      0.2      0.1       35      170      210      210
      0.2      0.1       40      170      210      210
      0.2      0.1       45      170      210      210
      0.2      0.1       50      170      210      210
      0.2      0.1       55      170      210      210
      0.2      0.1       60      170      210      210
      0.2      0.1       65      170      210      210
      0.2      0.1       70      170      210      210
      0.2      0.1       75      170      210      210
      0.2      0.1       80      170      210      210
      0.2      0.1       85      170      210      210
      0.2      0.1       90      170      210      210
      0.2      0.1       95      170      210      210
      0.2      0.2        5      170      210      210
      0.2      0.2       10      170      210      210
      0.2      0.2       15      170      210      210
      0.2      0.2       20      170      210      210
      0.2      0.2       25      170      210      210
      0.2      0.2       30      170      210      210
      0.2      0.2       35      170      210      210
      0.2      0.2       40      170      210      210
      0.2      0.2       45      170      210      210
      0.2      0.2       50      170      210      210
      0.2      0.2       55      170      210      210
      0.2      0.2       60      170      210      210
      0.2      0.2       65      170      210      210
      0.2      0.2       70      170      210      210
      0.2      0.2       75      170      210      210
