       № operation         Belt       Number str          State           Time
              1              1              1              S             18:8:47.321
              2              1              1              F             18:8:47.332
              3              1              2              S             18:8:47.332
              4              2              1              S             18:8:47.332
              5              2              1              F             18:8:47.332
              6              3              1              S             18:8:47.332
              7              3              1              F             18:8:47.333
              8              1              2              F             18:8:47.343
              9              1              3              S             18:8:47.343
             10              2              2              S             18:8:47.343
             11              2              2              F             18:8:47.343
             12              3              2              S             18:8:47.343
             13              3              2              F             18:8:47.344
             14              1              3              F             18:8:47.354
             15              2              3              S             18:8:47.354
             16              1              4              S             18:8:47.354
             17              2              3              F             18:8:47.354
             18              3              3              S             18:8:47.354
             19              3              3              F             18:8:47.355
             20              1              4              F             18:8:47.365
             21              1              5              S             18:8:47.365
             22              2              4              S             18:8:47.365
             23              2              4              F             18:8:47.365
             24              3              4              S             18:8:47.365
             25              3              4              F             18:8:47.366
             26              1              5              F             18:8:47.376
             27              1              6              S             18:8:47.376
             28              2              5              S             18:8:47.376
             29              2              5              F             18:8:47.376
             30              3              5              S             18:8:47.376
             31              3              5              F             18:8:47.377
             32              1              6              F             18:8:47.387
             33              1              7              S             18:8:47.387
             34              2              6              S             18:8:47.387
             35              2              6              F             18:8:47.387
             36              3              6              S             18:8:47.387
             37              3              6              F             18:8:47.388
             38              1              7              F             18:8:47.398
             39              2              7              S             18:8:47.398
             40              1              8              S             18:8:47.398
             41              2              7              F             18:8:47.398
             42              3              7              S             18:8:47.398
             43              3              7              F             18:8:47.399
             44              1              8              F             18:8:47.409
             45              1              9              S             18:8:47.409
             46              2              8              S             18:8:47.409
             47              2              8              F             18:8:47.409
             48              3              8              S             18:8:47.409
             49              3              8              F             18:8:47.410
             50              1              9              F             18:8:47.419
             51              2              9              S             18:8:47.419
             52              1             10              S             18:8:47.419
             53              2              9              F             18:8:47.419
             54              3              9              S             18:8:47.419
             55              3              9              F             18:8:47.420
             56              1             10              F             18:8:47.430
             57              1             11              S             18:8:47.430
             58              2             10              S             18:8:47.430
             59              2             10              F             18:8:47.430
             60              3             10              S             18:8:47.430
             61              3             10              F             18:8:47.431
             62              1             11              F             18:8:47.441
             63              2             11              S             18:8:47.441
             64              1             12              S             18:8:47.441
             65              2             11              F             18:8:47.441
             66              3             11              S             18:8:47.441
             67              3             11              F             18:8:47.442
             68              1             12              F             18:8:47.452
             69              2             12              S             18:8:47.452
             70              2             12              F             18:8:47.452
             71              3             12              S             18:8:47.452
             72              3             12              F             18:8:47.453
