       № operation         Belt       Number str          State           Time
              1              1              1              S             17:58:39.152
              2              1              1              F             17:58:39.163
              3              2              1              S             17:58:39.163
              4              1              2              S             17:58:39.163
              5              2              1              F             17:58:39.163
              6              3              1              S             17:58:39.163
              7              3              1              F             17:58:39.163
              8              1              2              F             17:58:39.174
              9              2              2              S             17:58:39.174
             10              1              3              S             17:58:39.174
             11              2              2              F             17:58:39.174
             12              3              2              S             17:58:39.174
             13              3              2              F             17:58:39.174
             14              1              3              F             17:58:39.184
             15              2              3              S             17:58:39.184
             16              2              3              F             17:58:39.184
             17              3              3              S             17:58:39.184
             18              3              3              F             17:58:39.184
