       № operation         Belt       Number str          State           Time
              1              1              1              S             18:0:21.8
              2              1              1              F             18:0:21.19
              3              1              2              S             18:0:21.19
              4              2              1              S             18:0:21.19
              5              2              1              F             18:0:21.19
              6              3              1              S             18:0:21.19
              7              1              2              F             18:0:21.30
              8              1              3              S             18:0:21.30
              9              2              2              S             18:0:21.30
             10              3              1              F             18:0:21.63
             11              2              2              F             18:0:21.63
             12              3              2              S             18:0:21.63
             13              1              3              F             18:0:21.63
             14              1              4              S             18:0:21.63
             15              2              3              S             18:0:21.63
             16              3              2              F             18:0:21.106
             17              2              3              F             18:0:21.106
             18              3              3              S             18:0:21.106
             19              1              4              F             18:0:21.106
             20              1              5              S             18:0:21.106
             21              2              4              S             18:0:21.106
             22              3              3              F             18:0:21.148
             23              2              4              F             18:0:21.148
             24              3              4              S             18:0:21.148
             25              1              5              F             18:0:21.148
             26              1              6              S             18:0:21.148
             27              2              5              S             18:0:21.148
             28              3              4              F             18:0:21.190
             29              2              5              F             18:0:21.190
             30              1              6              F             18:0:21.190
             31              1              7              S             18:0:21.190
             32              3              5              S             18:0:21.190
             33              2              6              S             18:0:21.190
             34              3              5              F             18:0:21.231
             35              2              6              F             18:0:21.231
             36              1              7              F             18:0:21.231
             37              1              8              S             18:0:21.231
             38              3              6              S             18:0:21.231
             39              2              7              S             18:0:21.231
             40              3              6              F             18:0:21.273
             41              2              7              F             18:0:21.273
             42              3              7              S             18:0:21.273
             43              1              8              F             18:0:21.273
             44              1              9              S             18:0:21.273
             45              2              8              S             18:0:21.273
             46              3              7              F             18:0:21.314
             47              2              8              F             18:0:21.314
             48              3              8              S             18:0:21.314
             49              1              9              F             18:0:21.314
             50              1             10              S             18:0:21.314
             51              2              9              S             18:0:21.314
             52              3              8              F             18:0:21.355
             53              2              9              F             18:0:21.355
             54              3              9              S             18:0:21.355
             55              1             10              F             18:0:21.355
             56              1             11              S             18:0:21.355
             57              2             10              S             18:0:21.355
             58              3              9              F             18:0:21.395
             59              2             10              F             18:0:21.396
             60              3             10              S             18:0:21.396
             61              1             11              F             18:0:21.396
             62              2             11              S             18:0:21.396
             63              1             12              S             18:0:21.396
             64              3             10              F             18:0:21.436
             65              2             11              F             18:0:21.437
             66              3             11              S             18:0:21.437
             67              1             12              F             18:0:21.437
             68              1             13              S             18:0:21.437
             69              2             12              S             18:0:21.437
             70              3             11              F             18:0:21.477
             71              2             12              F             18:0:21.477
             72              3             12              S             18:0:21.477
             73              1             13              F             18:0:21.477
             74              1             14              S             18:0:21.477
             75              2             13              S             18:0:21.477
             76              3             12              F             18:0:21.518
             77              2             13              F             18:0:21.518
             78              3             13              S             18:0:21.518
             79              1             14              F             18:0:21.518
             80              1             15              S             18:0:21.518
             81              2             14              S             18:0:21.518
             82              3             13              F             18:0:21.559
             83              2             14              F             18:0:21.560
             84              3             14              S             18:0:21.560
             85              1             15              F             18:0:21.560
             86              1             16              S             18:0:21.560
             87              2             15              S             18:0:21.560
             88              3             14              F             18:0:21.601
             89              2             15              F             18:0:21.601
             90              3             15              S             18:0:21.601
             91              1             16              F             18:0:21.601
             92              1             17              S             18:0:21.601
             93              2             16              S             18:0:21.601
             94              3             15              F             18:0:21.642
             95              2             16              F             18:0:21.642
             96              3             16              S             18:0:21.642
             97              1             17              F             18:0:21.642
             98              1             18              S             18:0:21.642
             99              2             17              S             18:0:21.642
            100              3             16              F             18:0:21.683
            101              2             17              F             18:0:21.683
            102              3             17              S             18:0:21.683
            103              1             18              F             18:0:21.683
            104              1             19              S             18:0:21.683
            105              2             18              S             18:0:21.683
            106              3             17              F             18:0:21.724
            107              2             18              F             18:0:21.724
            108              3             18              S             18:0:21.724
            109              1             19              F             18:0:21.724
            110              1             20              S             18:0:21.724
            111              2             19              S             18:0:21.724
            112              3             18              F             18:0:21.765
            113              2             19              F             18:0:21.765
            114              3             19              S             18:0:21.765
            115              1             20              F             18:0:21.765
            116              1             21              S             18:0:21.765
            117              2             20              S             18:0:21.765
            118              3             19              F             18:0:21.807
            119              2             20              F             18:0:21.807
            120              3             20              S             18:0:21.807
            121              1             21              F             18:0:21.807
            122              1             22              S             18:0:21.807
            123              2             21              S             18:0:21.807
            124              3             20              F             18:0:21.848
            125              2             21              F             18:0:21.848
            126              3             21              S             18:0:21.848
            127              1             22              F             18:0:21.848
            128              1             23              S             18:0:21.848
            129              2             22              S             18:0:21.848
            130              3             21              F             18:0:21.889
            131              2             22              F             18:0:21.889
            132              3             22              S             18:0:21.889
            133              1             23              F             18:0:21.889
            134              1             24              S             18:0:21.889
            135              2             23              S             18:0:21.889
            136              3             22              F             18:0:21.930
            137              2             23              F             18:0:21.930
            138              3             23              S             18:0:21.930
            139              1             24              F             18:0:21.930
            140              1             25              S             18:0:21.930
            141              2             24              S             18:0:21.930
            142              3             23              F             18:0:21.971
            143              2             24              F             18:0:21.971
            144              3             24              S             18:0:21.971
            145              1             25              F             18:0:21.971
            146              1             26              S             18:0:21.971
            147              2             25              S             18:0:21.971
            148              3             24              F             18:0:22.12
            149              2             25              F             18:0:22.12
            150              3             25              S             18:0:22.12
            151              1             26              F             18:0:22.12
            152              1             27              S             18:0:22.12
            153              2             26              S             18:0:22.12
            154              3             25              F             18:0:22.53
            155              2             26              F             18:0:22.53
            156              3             26              S             18:0:22.53
            157              1             27              F             18:0:22.53
            158              1             28              S             18:0:22.53
            159              2             27              S             18:0:22.53
